snoring_rate,respiration_rate,body_temperature,limb_movement,blood_oxygen,eye_movement,sleeping_hours,heart_rate,stress_level
98.08,28.08,87.6,18.04,85.12,102.6,0,80.2,4
71.68,21.168,93.168,11.168,91.168,90.84,3.752,62.92,2
62.56,20.256,92.256,10.256,90.256,86.28,2.384,60.64,2
81.32,22.352,90.176,12.44,88.176,95.44,0.176,65.88,3
65.12,20.512,92.512,10.512,90.512,87.56,2.768,61.28,2
60.8,20.08,92.08,10.08,90.08,85.4,2.12,60.2,2
99.392,29.392,89.24,18.696,87.088,104.24,0,83.48,4
59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64,1
97.792,27.792,87.24,17.896,84.688,102.24,0,79.48,4
67.52,20.752,92.752,10.752,90.752,88.76,3.128,61.88,2
55.92,19.184,95.184,9.184,93.776,82.96,6.184,57.96,1
62.88,20.288,92.288,10.288,90.288,86.44,2.432,60.72,2
59.04,19.808,95.808,9.808,94.712,84.52,6.808,59.52,1
53.04,18.608,94.608,8.608,92.912,81.52,5.608,56.52,1
47.8,17.12,97.68,6.24,96.12,71.2,8.12,52.8,0
48.72,17.488,98.232,6.976,96.488,74.88,8.488,53.72,0
47.12,16.848,97.272,5.696,95.848,68.48,7.848,52.12,0
80.84,22.224,90.112,12.28,88.112,95.28,0.112,65.56,3
90.32,24.752,91.376,15.44,89.376,98.44,1.376,71.88,3
54.56,18.912,94.912,8.912,93.368,82.28,5.912,57.28,1
56.24,19.248,95.248,9.248,93.872,83.12,6.248,58.12,1
54.32,18.864,94.864,8.864,93.296,82.16,5.864,57.16,1
96.768,26.768,85.96,17.384,83.152,100.96,0,76.92,4
65.6,20.56,92.56,10.56,90.56,87.8,2.84,61.4,2
46.04,16.416,96.624,4.832,95.416,64.16,7.416,51.04,0
98.976,28.976,88.72,18.488,86.464,103.72,0,82.44,4
99.712,29.712,89.64,18.856,87.568,104.64,0,84.28,4
47,16.8,97.2,5.6,95.8,68,7.8,52,0
97.536,27.536,86.92,17.768,84.304,101.92,0,78.84,4
54,18.8,94.8,8.8,93.2,82,5.8,57,1
83.24,22.864,90.432,13.08,88.432,96.08,0.432,67.16,3
83.96,23.056,90.528,13.32,88.528,96.32,0.528,67.64,3
99.04,29.04,88.8,18.52,86.56,103.8,0,82.6,4
89.96,24.656,91.328,15.32,89.328,98.32,1.328,71.64,3
77.12,21.712,93.712,11.712,91.712,93.56,4.568,64.28,2
80.96,22.256,90.128,12.32,88.128,95.32,0.128,65.64,3
99.616,29.616,89.52,18.808,87.424,104.52,0,84.04,4
54.24,18.848,94.848,8.848,93.272,82.12,5.848,57.12,1
89.48,24.528,91.264,15.16,89.264,98.16,1.264,71.32,3
89.12,24.432,91.216,15.04,89.216,98.04,1.216,71.08,3
82.52,22.672,90.336,12.84,88.336,95.84,0.336,66.68,3
86,23.6,90.8,14,88.8,97,0.8,69,3
46.08,16.432,96.648,4.864,95.432,64.32,7.432,51.08,0
98.752,28.752,88.44,18.376,86.128,103.44,0,81.88,4
86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16,3
58.08,19.616,95.616,9.616,94.424,84.04,6.616,59.04,1
81.2,22.32,90.16,12.4,88.16,95.4,0.16,65.8,3
72.96,21.296,93.296,11.296,91.296,91.48,3.944,63.24,2
90.92,24.912,91.456,15.64,89.456,98.64,1.456,72.28,3
92.72,25.392,91.696,16.24,89.696,99.24,1.696,73.48,3
97.6,27.6,87,17.8,84.4,102,0,79,4
60.16,20.016,92.016,10.016,90.016,85.08,2.024,60.04,2
56.8,19.36,95.36,9.36,94.04,83.4,6.36,58.4,1
49.64,17.856,98.784,7.712,96.856,78.56,8.856,54.64,0
94.52,25.872,91.936,16.84,89.936,99.84,1.936,74.68,3
47.84,17.136,97.704,6.272,96.136,71.36,8.136,52.84,0
57.36,19.472,95.472,9.472,94.208,83.68,6.472,58.68,1
80.48,22.128,90.064,12.16,88.064,95.16,0.064,65.32,3
66.08,20.608,92.608,10.608,90.608,88.04,2.912,61.52,2
51.12,18.224,94.224,8.224,92.336,80.56,5.224,55.56,1
45.48,16.192,96.288,4.384,95.192,61.92,7.192,50.48,0
97.824,27.824,87.28,17.912,84.736,102.28,0,79.56,4
48.76,17.504,98.256,7.008,96.504,75.04,8.504,53.76,0
77.92,21.792,93.792,11.792,91.792,93.96,4.688,64.48,2
97.184,27.184,86.48,17.592,83.776,101.48,0,77.96,4
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1
49.76,17.904,98.856,7.808,96.904,79.04,8.904,54.76,0
94.76,25.936,91.968,16.92,89.968,99.92,1.968,74.84,3
47.16,16.864,97.296,5.728,95.864,68.64,7.864,52.16,0
98.784,28.784,88.48,18.392,86.176,103.48,0,81.96,4
97.92,27.92,87.4,17.96,84.88,102.4,0,79.8,4
93.32,25.552,91.776,16.44,89.776,99.44,1.776,73.88,3
83.48,22.928,90.464,13.16,88.464,96.16,0.464,67.32,3
85.88,23.568,90.784,13.96,88.784,96.96,0.784,68.92,3
99.424,29.424,89.28,18.712,87.136,104.28,0,83.56,4
99.744,29.744,89.68,18.872,87.616,104.68,0,84.36,4
49.92,17.968,98.952,7.936,96.968,79.68,8.968,54.92,0
65.44,20.544,92.544,10.544,90.544,87.72,2.816,61.36,2
61.92,20.192,92.192,10.192,90.192,85.96,2.288,60.48,2
52.56,18.512,94.512,8.512,92.768,81.28,5.512,56.28,1
97.344,27.344,86.68,17.672,84.016,101.68,0,78.36,4
64.8,20.48,92.48,10.48,90.48,87.4,2.72,61.2,2
58.56,19.712,95.712,9.712,94.568,84.28,6.712,59.28,1
82.16,22.576,90.288,12.72,88.288,95.72,0.288,66.44,3
58,19.6,95.6,9.6,94.4,84,6.6,59,1
77.28,21.728,93.728,11.728,91.728,93.64,4.592,64.32,2
